Key,Values
1Q_dm_A1,"[['(0.9999999999999998+0j)', '0j'], ['0j', '0j']]"
1Q_dm_A2,"[['(0.9755282581475766+0j)', '(0.04774575140626314+0j)'], ['(0.047745751406263144+0j)', '(0.02447174185242321+0j)']]"
1Q_dm_A3,"[['(0.9522542485937368+0j)', '(0.04774575140626314+0.14694631307311828j)'], ['(0.047745751406263144-0.14694631307311828j)', '(0.04774575140626314+0j)']]"
1Q_dm_B1,"[['(0.9522542485937365+0j)', '(0.045408908000335035+0.13975424859373686j)'], ['(0.04540890800033505-0.13975424859373686j)', '(0.04774575140626312+0j)']]"
1Q_dm_B2,"[['(0.9301193501472415+0j)', '(0.09093218925782891+0.13975424859373686j)'], ['(0.09093218925782892-0.13975424859373686j)', '(0.06988064985275824+0j)']]"
1Q_dm_B3,"[['(0.8658813728906052-2.6020852139652106e-18j)', '(0.0909321892578289+0.26582837761001255j)'], ['(0.09093218925782892-0.2658283776100125j)', '(0.1341186271093947+2.6020852139652106e-18j)']]"
1Q_dm_C1,"[['(0.8658813728906051+0j)', '(0.08648165113464235+0.25281781074217113j)'], ['(0.08648165113464235-0.2528178107421711j)', '(0.13411862710939468+3.469446951953614e-18j)']]"
1Q_dm_C2,"[['(0.8479738638786269+0j)', '(0.1299946892578289+0.25281781074217113j)'], ['(0.12999468925782892-0.2528178107421711j)', '(0.15202613612137286+3.469446951953614e-18j)']]"
1Q_dm_C3,"[['(0.752817810742171-5.204170427930421e-18j)', '(0.1299946892578289+0.34797386387862717j)'], ['(0.12999468925782895-0.3479738638786271j)', '(0.24718218925782895+8.673617379884035e-18j)']]"
